family,vertices,alpha,epsilon,engine,stage1_work,stage1_pushes,envelope_volume,reference_support_volume,handoff_semantic_error,tail_iterations,stage2_work,total_work,semantic_error,screen_succeeded
binary-depth-7,255,0.16,0.05,gs-gap-envelope-oracle-stop,45,16,8,20,0.015323967075409811,3,24,69,0.020845706431243453,
binary-depth-7,255,0.16,0.05,priority-gs-positive-key-envelope,36,13,8,20,0.016044472786718333,3,24,60,0.020845706431243453,
binary-depth-7,255,0.16,0.05,priority-gs-positive-key-envelope-tuned,18,7,8,20,0.019620513469523926,4,32,50,0.01345210973905769,
binary-depth-7,255,0.16,0.1,appr-direct-ppr,8,3,8,2,0.0349146719484848,0,0,8,0.0349146719484848,
binary-depth-7,255,0.16,0.1,green-ball-screen-or-appr,28,3,8,2,0.0349146719484848,0,0,28,0.0349146719484848,False
binary-depth-7,255,0.16,0.1,priority-gs-direct-ppr,8,3,8,508,0.0349146719484848,0,0,8,0.0349146719484848,
binary-depth-7,255,0.16,0.1,appr-envelope,10,4,8,8,0.014921801378834525,2,16,26,0.04484570643124344,
binary-depth-7,255,0.16,0.1,gs-gap-envelope-oracle-stop,13,5,8,8,0.02826686624372718,3,24,37,0.020845706431243453,
binary-depth-7,255,0.16,0.1,priority-gs-positive-key-envelope,10,4,8,8,0.02826686624372718,3,24,34,0.020845706431243453,
binary-depth-7,255,0.16,0.1,priority-gs-positive-key-envelope-tuned,10,4,8,8,0.034872378920571406,3,24,34,0.020845706431243453,
broom-48-47,96,0.01,0.05,appr-direct-ppr,126,70,15,13,0.030761486225362185,0,0,126,0.030761486225362185,
broom-48-47,96,0.01,0.05,green-ball-screen-or-appr,165,70,15,13,0.030761486225362185,0,0,165,0.030761486225362185,False
broom-48-47,96,0.01,0.05,priority-gs-direct-ppr,126,71,15,190,0.029857953220371145,0,0,126,0.029857953220371145,
broom-48-47,96,0.01,0.05,appr-envelope,388,208,23,19,0.014666868498960858,13,299,687,0.025418657589984836,
broom-48-47,96,0.01,0.05,gs-gap-envelope-oracle-stop,990,521,15,23,0.02008161124449734,14,210,1200,0.022876791761655843,
broom-48-47,96,0.01,0.05,priority-gs-positive-key-envelope,497,270,13,23,0.024544192218514328,13,169,666,0.025418657589984836,
broom-48-47,96,0.01,0.05,priority-gs-positive-key-envelope-tuned,479,262,13,19,0.026846816115489794,14,182,661,0.024544192218514328,
broom-48-47,96,0.01,0.1,appr-direct-ppr,32,19,9,7,0.05093699163766929,0,0,32,0.05093699163766929,
broom-48-47,96,0.01,0.1,green-ball-screen-or-appr,51,19,9,7,0.05093699163766929,0,0,51,0.05093699163766929,False
broom-48-47,96,0.01,0.1,priority-gs-direct-ppr,42,25,9,190,0.04591502490394995,0,0,42,0.04591502490394995,
broom-48-47,96,0.01,0.1,appr-envelope,126,70,15,13,0.030761486225362185,6,90,216,0.05314409930669483,
broom-48-47,96,0.01,0.1,gs-gap-envelope-oracle-stop,373,201,7,17,0.044812511877596606,4,28,401,0.06560999930669482,
broom-48-47,96,0.01,0.1,priority-gs-positive-key-envelope,181,102,7,17,0.044812511877596606,4,28,209,0.06560999930669482,
broom-48-47,96,0.01,0.1,priority-gs-positive-key-envelope-tuned,168,96,7,13,0.04505488729049914,6,42,210,0.05314409930669483,
broom-48-47,96,0.04,0.05,appr-direct-ppr,59,34,11,9,0.02306123540017538,0,0,59,0.02306123540017538,
broom-48-47,96,0.04,0.05,green-ball-screen-or-appr,21,0,21,190,nan,10,210,231,0.02147483647999987,True
broom-48-47,96,0.04,0.05,priority-gs-direct-ppr,48,28,11,190,0.027789830425015233,0,0,48,0.027789830425015233,
broom-48-47,96,0.04,0.05,appr-envelope,116,64,15,13,0.010925573753755517,10,150,266,0.02147483647999987,
broom-48-47,96,0.04,0.05,gs-gap-envelope-oracle-stop,201,109,11,15,0.018631244116337403,11,121,322,0.017558299039780463,
broom-48-47,96,0.04,0.05,priority-gs-positive-key-envelope,124,70,11,15,0.020432280460968302,11,121,245,0.017558299039780463,
broom-48-47,96,0.04,0.05,priority-gs-positive-key-envelope-tuned,125,71,9,13,0.026962514312201202,11,99,224,0.02633744855967072,
broom-48-47,96,0.04,0.1,appr-direct-ppr,21,13,7,7,0.04961841497474033,0,0,21,0.04961841497474033,
broom-48-47,96,0.04,0.1,green-ball-screen-or-appr,19,0,19,190,nan,7,133,152,0.041943039999999876,True
broom-48-47,96,0.04,0.1,priority-gs-direct-ppr,21,13,7,190,0.04961841497474033,0,0,21,0.04961841497474033,
broom-48-47,96,0.04,0.1,appr-envelope,59,34,11,9,0.02306123540017538,6,66,125,0.05242879999999986,
broom-48-47,96,0.04,0.1,gs-gap-envelope-oracle-stop,102,57,7,11,0.039506172839506096,7,49,151,0.041943039999999876,
broom-48-47,96,0.04,0.1,priority-gs-positive-key-envelope,61,36,7,11,0.039506172839506096,7,49,110,0.041943039999999876,
broom-48-47,96,0.04,0.1,priority-gs-positive-key-envelope-tuned,68,40,7,9,0.049183918929204457,8,56,124,0.039506172839506096,
broom-48-47,96,0.16,0.05,appr-direct-ppr,15,9,7,5,0.023365078182601973,0,0,15,0.023365078182601973,
broom-48-47,96,0.16,0.05,green-ball-screen-or-appr,11,0,11,190,nan,6,66,77,0.018662400000000023,True
broom-48-47,96,0.16,0.05,priority-gs-direct-ppr,15,9,7,190,0.023365078182601973,0,0,15,0.023365078182601973,
broom-48-47,96,0.16,0.05,appr-envelope,16,10,7,7,0.01839307475134634,6,42,58,0.018662400000000023,
broom-48-47,96,0.16,0.05,gs-gap-envelope-oracle-stop,33,19,7,9,0.020230483966666934,7,49,82,0.013494377342773842,
broom-48-47,96,0.16,0.05,priority-gs-positive-key-envelope,27,16,7,9,0.02052967882073453,7,49,76,0.013494377342773842,
broom-48-47,96,0.16,0.05,priority-gs-positive-key-envelope-tuned,28,17,7,7,0.024363291200807963,7,49,77,0.013494377342773842,
broom-48-47,96,0.16,0.1,appr-direct-ppr,9,6,5,5,0.03730554339903986,0,0,9,0.03730554339903986,
broom-48-47,96,0.16,0.1,green-ball-screen-or-appr,9,0,9,190,nan,5,45,54,0.03110400000000002,True
broom-48-47,96,0.16,0.1,priority-gs-direct-ppr,9,6,5,190,0.03730554339903986,0,0,9,0.03730554339903986,
broom-48-47,96,0.16,0.1,appr-envelope,15,9,7,5,0.023365078182601973,5,35,50,0.03110400000000002,
broom-48-47,96,0.16,0.1,gs-gap-envelope-oracle-stop,20,12,5,7,0.038772015813975325,5,25,45,0.0314868804664723,
broom-48-47,96,0.16,0.1,priority-gs-positive-key-envelope,17,11,5,7,0.03730135575899071,5,25,42,0.0314868804664723,
broom-48-47,96,0.16,0.1,priority-gs-positive-key-envelope-tuned,17,11,5,5,0.046582522736641915,6,30,47,0.0314868804664723,
grid-12x12,144,0.01,0.05,appr-direct-ppr,28,10,18,18,0.009354330311298589,0,0,28,0.009354330311298589,
grid-12x12,144,0.01,0.05,green-ball-screen-or-appr,67,10,18,18,0.009354330311298589,0,0,67,0.009354330311298589,False
grid-12x12,144,0.01,0.05,priority-gs-direct-ppr,46,15,26,528,0.0095076049896222,0,0,46,0.0095076049896222,
grid-12x12,144,0.01,0.05,appr-envelope,130,41,44,32,0.0065599228274306216,0,0,130,0.024102803340523296,
grid-12x12,144,0.01,0.05,gs-gap-envelope-oracle-stop,204,64,2,44,0.01448871855952377,0,0,204,0.024102803340523296,
grid-12x12,144,0.01,0.05,priority-gs-positive-key-envelope,136,44,2,44,0.01448871855952377,0,0,136,0.024102803340523296,
